40,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
2+1/2,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,250,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14,350,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18,450,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20,500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,600,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
26,650,654.1,673.1,698.5,725.4,654.1,673.1,711.2,771.7,654.1,666.8,698.5,746.3,644.7,663.7,714.5,765.3,666.8,692.2,749.3,838.2,0.897,1.741,1.373,1.778,2.737,3.3,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare
28,700,704.9,723.9,749.3,776.2,704.9,723.9,762,825.5,701.8,714.5,749.3,800.1,685.8,704.9,755.7,819.2,717.6,743,800.1,901.7,0.962,1.928,1.534,2.133,3.197,3.3,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare
30,750,755.7,774.7,800.1,827,755.7,774.7,812.8,886,752.6,765.3,806.5,857.3,752.6,778,828.8,879.6,781.1,806.5,857.3,958.9,1.028,2.26,1.77,2.062,3.295,3.3,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare
32,800,806.5,825.5,850.9,881.1,806.5,825.5,863.6,939.8,800.1,812.8,860.6,911.4,793.8,831.9,882.7,933.5,838.2,863.6,914.4,1016,1.161,3.749,1.951,2.196,3.508,3.3,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare
34,850,857.3,876.3,908.1,935,857.3,876.3,914.4,993.9,850.9,866.9,911.4,962.2,850.9,889,939.8,997,895.4,920.8,971.6,1073.2,1.303,2.69,2.066,2.493,3.721,3.3,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare
36,900,908.1,927.1,958.9,987.6,908.1,927.1,965.2,1047.8,898.7,917.7,965.2,1022.4,901.7,939.8,990.6,1047.8,920.8,946.2,997,1124,1.414,2.918,2.418,2.627,4.507,3.3,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare
38,950,958.9,974.9,1009.7,1044.7,971.6,1009.7,1047.8,1098.6,952.5,971.6,1022.4,1073.2,952.5,990.6,1041.4,1104.9,1009.7,1035.1,1085.9,1200.2,1.727,2.295,2.544,2.933,4.519,3.3,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare,Spare
