80,2,3,4,,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
6,150,168,1,0,0,0,0,0,0,0,0,0,140,140,140,140,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,150,168,1,0,0,0,0,0,0,0,0,1.26,1.47,1.55,1.59,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
8,200,219,1,0,0,0,0,0,0,0,0,0,0,0,152,152,152,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,200,219,1,0,0,0,0,0,0,0,0,0,0,2.41,2.45,2.53,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
10,250,273,1,0,0,0,0,0,0,0,0,0,0,0,0,178,178,178,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,250,273,1,0,0,0,0,0,0,0,0,0,0,0,3.84,4,4.09,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
12,300,324,1,0,0,0,0,0,0,0,0,0,0,0,0,0,203,203,203,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,300,324,1,0,0,0,0,0,0,0,0,0,0,0,0,5.97,6.05,6.29,6.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
14,350,356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,330,330,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,350,356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.71,11.37,11.77,12.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
16,400,406,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,356,356,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,400,406,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.66,14.47,14.96,15.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
18,450,457,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,381,381,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,450,457,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.17,17.5,17.91,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
20,500,508,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,508,508,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,500,508,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.54,25.35,26.17,26.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
22,550,559,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,508,508,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,550,559,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
24,600,610,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,508,508,508,0,0,0,0,0,0,0,0,0,0,0,0,0,24,600,610,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.99,36.81,38.44,40.08,0,0,0,0,0,0,0,0,0,0,0,0,0,24
26,650,660,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,610,610,610,0,0,0,0,0,0,0,0,0,0,0,0,26,650,660,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.38,48.38,48.38,48.38,0,0,0,0,0,0,0,0,0,0,0,0,26
28,700,711,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,610,610,610,610,0,0,0,0,0,0,0,0,0,0,0,28,700,711,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.51,50.51,50.51,50.51,50.51,0,0,0,0,0,0,0,0,0,0,0,28
30,750,762,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,610,610,610,610,0,0,0,0,0,0,0,0,0,0,30,750,762,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.17,53.17,53.17,53.17,53.17,0,0,0,0,0,0,0,0,0,0,30
